주제,내용,길이
NewJeans 개요,2022년 7월 22일에 데뷔한 ADOR 소속의 5인조 다국적 걸그룹.,39
멤버1,민지,2
멤버2,하니,2
멤버3,다니엘,3
멤버4,해린,2
멤버5,혜인,2
로고특징,음반 발매와 함께 프로모 형식으로 여러 가지 새로운 로고가 올라온다. 뉴진스만의 '뉴트로 감성'을 살리며 틀에 박히지 않은 다양한 디자인을 선보이고 있다.,86
그룹명,"대중음악은 일상과 초근접해 있는 문화이기 때문에 마치 매일 입는 옷과 같다. 특히 진(Jean)은 시대를 불문해 남녀노소 모두에게 사랑받아 온 아이템이다. 뉴진스(NewJeans)에는 매일 찾게 되고 언제 입어도 질리지 않는 진처럼 시대의 아이콘이 되겠다는 포부와 New Genes, 즉 새로운 시대를 열겠다는 각오도 동시에 담겨 있다.",188
콘셉트1,"5명의 멤버가 모여 어딘가 자유분방하면서도 결합력 있는 독특한 퍼포먼스를 선보인다. 소녀들이 '재밌게 즐긴다'란 표현이 어울리는 뉴진스만의 청춘 하이틴스러운 컨셉은 '자연스럽다'라는 느낌을 주어, 뉴진스가 많은 대중들에게 사랑 받는 데에 크게 기여한다. 데뷔곡 Attention과 Hype Boy에서부터 대중들의 눈길을 사로잡는 참신한 군무로 ""자칫하면 어려보이기만 할 수 있는 십대들을 데리고 최적의 컨셉으로 밀고나갔다""라는 평을 받으며 그룹의 이미지를 확실하게 각인시켰다. 이후 발매된 Ditto와 Super Shy 등 여러 곡에서 역시 무대를 순수하게 즐기며 뛰노는듯한 멤버들의 모습으로 좋은 평가를 받았다.",343
콘셉트2,"레트로와 힙합을 적절히 섞은 음악적 퀄리티 역시 호평받는 부분이다. 레트로 관련 작업물로 한국 음악계에서 호평받은 프로듀서 250이 뉴진스의 색깔에 걸맞게 호화로운 프로듀싱을 하고, 각 멤버들의 편안한 음색이 조화를 이루어 뉴진스를 한 층 더 뉴진스답게 만들어준다. FRNK 프로듀서의 손에서 나온 Cookie나 OMG 등의 노래에선 통통 튀는 특유의 비트로 뉴진스의 트렌디하고 힙한 면모를 부각시켰으며, 해외에서 특히 사랑받는다.",241
보컬실력1,"멤버 전원이 그룹이 추구하는 음악에 맞는 음색과 기술을 가지고 있다고 평가받는다. 곡을 녹음할 때 가이드 보컬을 사용하지 않아 '뉴진스'만의 음악 스타일을 형성하는 데에 있어 큰 기여를 하고 있으며, 모든 멤버들의 음색이 예쁘면서도 다른 개성이 느껴져 스타일의 폭이 넓다",151
보컬실력2,"특이한 점은 여타 그룹과 달리 ""강한 메인보컬"", ""강한 메인래퍼""의 존재가 없다는 점이다. 기존의 K-POP 그룹들이 벨팅 계열의 파워풀한 메인보컬 혹은 메인래퍼를 넣어 임팩트를 주는 것과는 다르다고 볼 수 있다. 오히려, 의도적으로 보컬의 힘을 빼고 있다는 게 느껴질 만큼 중저음을 내세우고 있다. 이는 90년대 Urban R&B의 영향이 강하게 느껴지는 부분이라 할 수 있는데, 과거 TLC나 토니 브랙스턴처럼 고음보다는 중저음의 바이브가 그대로 뉴진스에도 적용되고 있는 것. 음악평론가 임희윤은 기존의 K-POP 씬에서 볼 수 있던 '한국식 마라맛'과 다른 '한국식 버터맛' 이라고 평하기도 했다",337
댄스실력1,"멤버들의 전체적인 춤 실력이 매우 뛰어난 편이며, 난이도로 보나 실력으로 보나 4세대 최상위권에 속한다. NewJeans의 곡들이 대부분 힙합 기반의 안무이기에 힘과 유연성을 모두 고려하면서 춰야하는 데다가 넓은 무대에서 돋보이기 위해서는 춤선 또한 부드러워야 한다. 하지만 모든 멤버들이 뒤쳐지지 않고 이를 잘 갖추었기에 담당 안무가가 멤버 개개인의 춤의 개성을 중요시함에도 군무가 전혀 어색하게 느껴지지 않는다",231
댄스실력2,"유튜버로 활동하는 한 댄스 트레이너에 의하면 NewJeans 멤버들은 단순히 기계적으로 칼군무와 짜여진 안무를 수행하는 것이 아니라, 각 멤버마다 힙합 댄스의 기본기가 탄탄하고 리듬감이 뛰어나며 이 부분에 대한 트레이닝이 매우 잘되어 있다고 한다.",138
비주얼,멤버 전원이 센터급 비주얼을 가졌다. 멤버들 각각의 매력이 뛰어나고 특색 있으며 그 매력들이 적절하게 어우려져 있다. 멤버 전원이 160cm 이상이다. 멤버들의 나이가 전체적으로 어려서 추가적으로 클 가능성도 있다.,120
연혁 및 입지,"데뷔 전부터 SM엔터테인먼트 출신의 아트디렉터 민희진이 처음으로 제작하는 걸그룹이라는 점에서 큰 주목을 받아왔다. 데뷔 첫 앨범부터 신인으로서는 파격적으로 3개의 타이틀곡을 내세워 국내외 각종 음원 및 음반 차트를 휩쓰는 저력을 보여주었다. 성숙한 관능미를 어필하는 세계관이 주류였던 K-POP 걸그룹씬에서, 10대 소녀의 청초함과 깨끗함을 완성도 있는 음악과 결합시키며 데뷔와 동시에 큰 인기를 얻었다. 이러한 인기에 여러 언론은 앞다투어 신드롬급 인기라고 평하는 기사들을 쏟아내었으며, 어딜 가도 NewJeans를 접할 수 있다는 점에서 '온세뉴'[9]라는 신조어까지 생기거나, 일명 하입보이 밈이 유행하며 열풍을 이어나갔다.",352
인기 및 기록 1,"대중성 뿐만 아니라 음악성까지도 높은 평가를 받는 아이돌 그룹으로, 데뷔 앨범부터 좋은 평가를 받아왔다. 덕분에 한국대중음악상에 데뷔 앨범으로 올해의 앨범, 음악인에 노미네이트 되는 성과를 거뒀다.",110
