주제,내용,길이
장르,"슈퍼히어로,?안티히어로,?액션,?블랙 코미디,?SF,?어드벤처,?버디",38
감독,숀 레비,4
각본,라이언 레이놀즈?& 렛 리스 & 폴 워닉 &?제브 웰스?&?숀 레비,37
제작1,케빈 파이기,6
제작2,로렌 슐러 도너,8
제작3,라이언 레이놀즈,8
제작4,숀 레비,4
주연1,라이언 레이놀즈,8
주연2,휴 잭맨,4
주연3,엠마 코린,5
주연4,모레나 바카린,7
주연5,롭 딜레이니,6
주연6,레슬리 어검스,7
주연7,카란 소니,5
주연8,매튜 맥퍼딘,6
촬영,조지 리치먼드,7
편집,파올로 부제티,7
음악,롭 사이먼슨,6
미술,레이몬드 찬,6
의상,메이스 C. 루베오,10
조명,가브리엘 앨버커키즈,10
번역,황석희,3
촬영 기간,2023년?5월 23일?~?2024년?1월 24일,27
제작사1,마블 스튜디오,7
제작사2,20세기 스튜디오,9
제작사3,맥시멈 에포트,7
제작사4,21 랩스 엔터테인먼트,12
수입사,대한민국 국기?월트 디즈니 컴퍼니 코리아,22
미국배급사,월트 디즈니 스튜디오스 모션 픽처스,25
대한민국배급사,월트 디즈니 컴퍼니 코리아,22
미국개봉일,2024년?7월 26일,18
대한민국개봉일,2024년?7월 24일,20
화면비,2.39:1,6
상영 타입,2D?|?3D?(해외)?|?IMAX?|?4DX?|?ScreenX?|?Dolby Cinema?|?MX4D,57
상영 시간,128분 (2시간 7분 45초),17
제작비,2억 달러,5
월드 박스오피스,"$1,264,712,600?(2024년?9월 2일?기준)",31
북미 박스오피스,"$613,842,689?(2024년?9월 8일?기준)",29
대한민국 총 관객 수,"1,974,395명?(2024년?9월 9일?기준)",27
상영 등급,대한민국 국기?영등위 18세이상 2021?청소년 관람불가,31
개요,"마블 시네마틱 유니버스 페이즈 5의 네 번째 영화. 데드풀 실사영화 시리즈의 세 번째 작품이며, 울버린 실사영화 시리즈와 크로스오버를 겸하고 있다. 엑스맨 유니버스의 마블 시네마틱 유니버스 편입 이후 첫 데드풀 영화이며, 기존의 20세기 폭스가 아닌 마블 스튜디오에서 제작한 엑스맨 유니버스 배경 작품이다.
마블 시네마틱 유니버스 최초의 R등급이자 청소년 관람불가 영화이기도 하다.",213
 개봉 전 정보 (1),"2019년 10월 15일,?라이언 레이놀즈가?마블 스튜디오를 방문하였다.?X Corp 아이콘(블랙)",55
