주제,내용,길이
장르,"드라마,뮤지컬,음악,워맨스,코미디,학원,시대극",31
감독,박범수,3
각본,"박범수, 박성훈, 강민선",13
기획,"김이다, 이안나",8
제작,배선혜,3
출연,"이혜리,박세완,이정하,조아람外",20
촬영,박정훈,3
조명,이준일,3
미술,이봉환,3
편집,장래원,3
음악,김동욱,3
음향,"박용기, 박진홍",8
무술,임효우,3
시각효과,김정민,3
촬영 기간,2023년3월 4일~2023년7월 4일,25
제작사,안나푸르나필름,7
배급사,마인드마크,5
개봉일,2024년 08월 14일,12
화면비,1.85:1/1.33:1,13
상영 시간,120분 (1시간 59분 43초),18
제작비,83억원,4
손익분기점,200만명,5
대한민국 총 관객수,"452,360명 (2024년 9월 10일 기준)",26
스트리밍,쿠팡플레이,5
상영 등급,12세 이상 관람가,14
개요,"1999년 세기말, 남쪽 끝 거제의 교내 댄스 콤비 '필선'과 '미나'가 오직 춤을 추기 위해 결성한 치어리딩 동아리 ‘밀레니엄 걸즈’와 함께 춤과 음악으로 뜨거운 응원전을 펼치는 이야기",104
시놉시스,"스탠드 업! 텐션 업! 치얼 업!

1999년 세기말, 거제의 댄스 콤비 ‘필선'(이혜리)과 '미나’(박세완)는 댄스 연습실을 마련하기 위해 서울에서 전학온 치어리더 ‘세현'(조아람)을 내세워 치어리딩 동아리를 만든다.

그렇게 9명의 멤버들이 모여 얼렁뚱땅 탄생한 ‘밀레니엄 걸즈’. ‘치형’(이정하)의 만년 꼴찌 거제상고 축구부를 우승으로 이끌어야만 하는데…

오직 열정만큼은 충만한 생판 초짜 치어리딩 동아리 ‘밀레니엄 걸즈’의 모두를 향한 신나는 응원이 펼쳐진다!

“자, 고개 들고! 가슴 펴고!”",283
주요 등장인물,"추필선 , 장미나 , 윤치형 , 김세현",21
추필선?,우연히 치어리딩에 눈을 뜨게 된 춤생춤사 고등학생.,28
장미나?,필선의 단짝. 미나반점 7자매 중 장녀.,22
윤치형?,필선과 어린시절부터 단짝 친구인 인물. 학창시절의 멋진 추억 하나 남겨두기 위해 축구부 골키퍼로 활약하는 캐릭터다.,64
김세현?,서울에서 치어리더로 활동하다 거제로 전학 온 후 '밀레니엄 걸즈'의 멤버가 된 인물.,47
추필선 역,이혜리 배우,6
장미나 역,박세완 배우,6
윤치형 역,이정하 배우,6
김세현 역,조아람 배우,6
등장인물,"배소희, 정순정, 권용순, 염상미, 고유리, 방지혜, 김동현, 추우용, 김형우, 천진탁, 윤정진, 학주, 영어선생, 국어선생, 현대중앙고 치어리더, 연우, 선혜",89
배소희?,밀레니엄 걸즈'의 매니저.?노스트라다무스의 예언을 믿는 종말론자.,36
정순정?,'밀레니엄 걸즈'의 멤버. 방송반.,19
권용순?,'밀레니엄 걸즈'의 멤버. 비용세라는 별명을 지닌 봉구(강아지) 언니.,39
염상미?,'밀레니엄 걸즈'의 멤버. 태권도장 딸.,22
고유리?,'밀레니엄 걸즈'의 멤버이자 스타일리스트. 세탁소집 딸.,31
방지혜?,'밀레니엄 걸즈'의 멤버. 눈이 약해 태양을 피하고 싶은 각기춤 머신.,39
김동현?,서울 현대 중앙고에서 전학 온 거제상고 축구부 타겟형 스트라이커. 세현의 오빠.,44
배소희 역,최지수 배우,6
정순정 역,백하이 배우,6
권용순 역,권유나 배우,6
염상미 역,염지영 배우,6
고유리 역,이한주 배우,6
방지혜 역,박효은 배우,6
김동현 역,이찬형 배우,6
추우용?,필선 아빠. 상우조선 거제 외주인력 현장 관리 소장.,29
김형우?,상우조선 과장. 우용의 직속 상관.,19
천진탁?,현대중앙고 스트라이커.,12
윤정진 교장?,축구를 사랑하는 거제상고 교장.,17
학주?,거제상고 학주. 수학 교사.,15
영어 선생?,경상도 악센트로 영어를 구사하는 영어 교사.,24
국어 선생?,한때 좀 놀았던 전라도 출신의 거제상고 국어 교사. (우정출연),35
오코치?,패배가 더 익숙한 거제상고 축구부 코치.,22
연우?,현직 방송 댄서. 필선과 미나와 함께 거제상고에서 댄스 동아리를 했던 친구.,42
추우용 역,현봉식 배우,6
김형우 역,한종훈 배우,6
천진탁?역,차주완 배우,6
윤정진 교장?역,주진모 배우,6
학주?역,손병욱 배우,6
영어 선생?역,공훈 배우,5
국어 선생?역,이미도 배우,6
오코치?역,이시훈 배우,6
현대중앙고 치어리더?역,지이수 배우,6
연우 역,서수희 배우,6
선혜?역,정다정 배우,6
우정출연,지이수 배우. 이미도 배우,14
